Latitude (decimal degrees):	54.3285
Longitude (decimal degrees):	-5.7178
Source:	Open-Meteo Historical Weather API (ERA5/ECMWF)
Location:	Down

time,temperature_2m
20250415:2000,7.8
20250415:2030,7.6
20250415:2100,7.4
20250415:2130,7.3
20250415:2200,7.2
20250415:2230,7.2
20250415:2300,7.1
20250415:2330,7.0
20250416:0000,6.9
20250416:0030,6.4
20250416:0100,5.9
20250416:0130,6.0
20250416:0200,6.1
20250416:0230,6.2
20250416:0300,6.3
20250416:0330,6.5
20250416:0400,6.8
20250416:0430,7.0
20250416:0500,7.3
20250416:0530,7.2
20250416:0600,7.2
20250416:0630,7.2
20250416:0700,7.1
20250416:0730,7.0
20250416:0800,6.9
20250416:0830,6.8
20250416:0900,6.6
20250416:0930,6.3
20250416:1000,6.1
20250416:1030,6.1
20250416:1100,6.1
20250416:1130,6.0
20250416:1200,6.0
20250416:1230,6.3
20250416:1300,6.7
20250416:1330,7.1
20250416:1400,7.5
20250416:1430,7.5
20250416:1500,7.4
20250416:1530,7.3
20250416:1600,7.2
20250416:1630,6.9
20250416:1700,6.6
20250416:1730,6.4
20250416:1800,6.2
20250416:1830,6.1
20250416:1900,5.9
20250416:1930,5.8
20250416:2000,5.8
20250416:2030,5.8
20250416:2100,5.7
20250416:2130,5.7
20250416:2200,5.7
20250416:2230,5.6
20250416:2300,5.4
20250416:2330,5.4
20250417:0000,5.4
20250417:0030,5.2
20250417:0100,4.9
20250417:0130,4.8
20250417:0200,4.6
20250417:0230,4.3
20250417:0300,4.1
20250417:0330,3.8
20250417:0400,3.6
20250417:0430,3.4
20250417:0500,3.2
20250417:0530,3.3
20250417:0600,3.4
20250417:0630,4.2
20250417:0700,5.1
20250417:0730,6.0
20250417:0800,6.9
20250417:0830,7.6
20250417:0900,8.3
20250417:0930,8.9
20250417:1000,9.4
20250417:1030,9.8
20250417:1100,10.2
20250417:1130,10.4
20250417:1200,10.6
20250417:1230,10.6
20250417:1300,10.6
20250417:1330,10.5
20250417:1400,10.4
20250417:1430,10.3
20250417:1500,10.2
20250417:1530,10.1
20250417:1600,10.1
20250417:1630,9.9
20250417:1700,9.8
20250417:1730,9.5
20250417:1800,9.2
20250417:1830,8.7
20250417:1900,8.2
20250417:1930,7.8
20250417:2000,7.4
20250417:2030,7.4
20250417:2100,7.4
20250417:2130,7.1
20250417:2200,6.8
20250417:2230,6.7
20250417:2300,6.6
20250417:2330,6.7
20250418:0000,6.8
20250418:0030,6.8
20250418:0100,6.8
20250418:0130,6.8
20250418:0200,6.8
20250418:0230,6.8
20250418:0300,6.9
20250418:0330,7.2
20250418:0400,7.6
20250418:0430,7.4
20250418:0500,7.3
20250418:0530,7.3
20250418:0600,7.4
20250418:0630,7.5
20250418:0700,7.6
20250418:0730,7.9
20250418:0800,8.2
20250418:0830,8.6
20250418:0900,8.9
20250418:0930,8.7
20250418:1000,8.4
20250418:1030,8.2
20250418:1100,8.1
20250418:1130,8.2
20250418:1200,8.4
20250418:1230,8.8
20250418:1300,9.1
20250418:1330,9.2
20250418:1400,9.4
20250418:1430,9.4
20250418:1500,9.3
20250418:1530,9.2
20250418:1600,9.0
20250418:1630,9.1
20250418:1700,9.1
20250418:1730,9.1
20250418:1800,9.1
20250418:1830,9.1
20250418:1900,9.0
20250418:1930,8.9
20250418:2000,8.9
20250418:2030,9.1
20250418:2100,9.2
20250418:2130,9.1
20250418:2200,9.1
20250418:2230,9.1
20250418:2300,9.1
20250418:2330,9.1
20250419:0000,9.1
20250419:0030,9.2
20250419:0100,9.3
20250419:0130,9.3
20250419:0200,9.3
20250419:0230,9.2
20250419:0300,9.2
20250419:0330,9.1
20250419:0400,8.9
20250419:0430,8.7
20250419:0500,8.5
20250419:0530,8.4
20250419:0600,8.4
20250419:0630,8.4
20250419:0700,8.4
20250419:0730,8.5
20250419:0800,8.6
20250419:0830,8.8
20250419:0900,9.1
20250419:0930,9.0
20250419:1000,8.9
20250419:1030,8.9
20250419:1100,9.0
20250419:1130,9.2
20250419:1200,9.5
20250419:1230,9.8
20250419:1300,10.1
20250419:1330,10.0
20250419:1400,9.9
20250419:1430,10.0
20250419:1500,10.1
20250419:1530,10.0
20250419:1600,9.9
20250419:1630,10.0
20250419:1700,10.1
20250419:1730,10.0
20250419:1800,9.9
20250419:1830,9.8
20250419:1900,9.6
20250419:1930,9.4
20250419:2000,9.3
20250419:2030,9.3
20250419:2100,9.3
20250419:2130,9.2
20250419:2200,9.1
20250419:2230,9.0
20250419:2300,8.9
20250419:2330,8.7
20250420:0000,8.5
20250420:0030,8.2
20250420:0100,8.0
20250420:0130,7.8
20250420:0200,7.6
20250420:0230,7.5
20250420:0300,7.4
20250420:0330,7.3
20250420:0400,7.3
20250420:0430,7.2
20250420:0500,7.2
20250420:0530,7.2
20250420:0600,7.2
20250420:0630,7.3
20250420:0700,7.5
20250420:0730,7.7
20250420:0800,7.9
20250420:0830,8.2
20250420:0900,8.4
20250420:0930,8.7
20250420:1000,8.9
20250420:1030,9.1
20250420:1100,9.2
20250420:1130,9.1
20250420:1200,9.1
20250420:1230,9.1
20250420:1300,9.2
20250420:1330,9.3
20250420:1400,9.4
20250420:1430,9.2
20250420:1500,9.1
20250420:1530,9.1
20250420:1600,9.2
20250420:1630,9.2
20250420:1700,9.2
20250420:1730,9.0
20250420:1800,8.8
20250420:1830,8.6
20250420:1900,8.4
20250420:1930,8.2
20250420:2000,8.1
20250420:2030,7.9
20250420:2100,7.8
20250420:2130,8.1
20250420:2200,8.3
20250420:2230,8.2
20250420:2300,8.1
20250420:2330,7.9
20250421:0000,7.7
20250421:0030,8.0
20250421:0100,8.3
20250421:0130,8.4
20250421:0200,8.4
20250421:0230,8.4
20250421:0300,8.4
20250421:0330,8.3
20250421:0400,8.2
20250421:0430,8.2
20250421:0500,8.2
20250421:0530,8.2
20250421:0600,8.3
20250421:0630,8.6
20250421:0700,8.9
20250421:0730,9.2
20250421:0800,9.4
20250421:0830,9.8
20250421:0900,10.1
20250421:0930,10.1
20250421:1000,10.2
20250421:1030,10.6
20250421:1100,10.9
20250421:1130,11.5
20250421:1200,12.1
20250421:1230,12.2
20250421:1300,12.4
20250421:1330,12.2
20250421:1400,12.1
20250421:1430,11.8
20250421:1500,11.6
20250421:1530,12.1
20250421:1600,12.5
20250421:1630,12.3
20250421:1700,12.2
20250421:1730,11.5
20250421:1800,10.8
20250421:1830,10.1
20250421:1900,9.4
20250421:1930,8.8
20250421:2000,8.1
20250421:2030,7.8
20250421:2100,7.4
20250421:2130,7.3
20250421:2200,7.3
20250421:2230,7.0
20250421:2300,6.7
20250421:2330,6.3
20250422:0000,5.9
20250422:0030,5.6
20250422:0100,5.3
20250422:0130,5.2
20250422:0200,5.0
20250422:0230,5.3
20250422:0300,5.6
20250422:0330,5.4
20250422:0400,5.3
20250422:0430,5.0
20250422:0500,4.8
20250422:0530,5.2
20250422:0600,5.7
20250422:0630,6.6
20250422:0700,7.5
20250422:0730,8.2
20250422:0800,8.8
20250422:0830,9.3
20250422:0900,9.8
20250422:0930,10.1
20250422:1000,10.4
20250422:1030,10.5
20250422:1100,10.6
20250422:1130,10.8
20250422:1200,10.9
20250422:1230,11.2
20250422:1300,11.5
20250422:1330,11.5
20250422:1400,11.5
20250422:1430,11.4
20250422:1500,11.4
20250422:1530,11.2
20250422:1600,10.9
20250422:1630,10.5
20250422:1700,10.1
20250422:1730,10.0
20250422:1800,9.9
20250422:1830,9.7
20250422:1900,9.5
20250422:1930,9.4
20250422:2000,9.4
20250422:2030,9.4
20250422:2100,9.4
20250422:2130,9.3
20250422:2200,9.2
20250422:2230,9.2
20250422:2300,9.2
20250422:2330,9.1
20250423:0000,9.1
20250423:0030,9.0
20250423:0100,8.9
20250423:0130,8.8
20250423:0200,8.6
20250423:0230,8.8
20250423:0300,8.9
20250423:0330,8.9
20250423:0400,8.8
20250423:0430,8.6
20250423:0500,8.4
20250423:0530,8.5
20250423:0600,8.6
20250423:0630,9.0
20250423:0700,9.4
20250423:0730,9.9
20250423:0800,10.3
20250423:0830,10.8
20250423:0900,11.2
20250423:0930,11.6
20250423:1000,12.1
20250423:1030,12.4
20250423:1100,12.8
20250423:1130,13.0
20250423:1200,13.2
20250423:1230,13.4
20250423:1300,13.6
20250423:1330,13.7
20250423:1400,13.8
20250423:1430,13.8
20250423:1500,13.7
20250423:1530,13.4
20250423:1600,13.1
20250423:1630,12.9
20250423:1700,12.8
20250423:1730,12.7
20250423:1800,12.5
20250423:1830,11.8
20250423:1900,11.2
20250423:1930,10.3
20250423:2000,9.4
20250423:2030,8.9
20250423:2100,8.4
20250423:2130,8.1
20250423:2200,7.8
20250423:2230,7.6
20250423:2300,7.4
20250423:2330,7.2
20250424:0000,6.9
20250424:0030,7.2
20250424:0100,7.6
20250424:0130,7.4
20250424:0200,7.2
20250424:0230,7.7
20250424:0300,8.1
20250424:0330,8.1
20250424:0400,8.0
20250424:0430,7.9
20250424:0500,7.8
20250424:0530,8.0
20250424:0600,8.2
20250424:0630,8.6
20250424:0700,9.1
20250424:0730,9.3
20250424:0800,9.6
20250424:0830,9.8
20250424:0900,10.1
20250424:0930,10.2
20250424:1000,10.4
20250424:1030,10.5
20250424:1100,10.6
20250424:1130,10.6
20250424:1200,10.7
20250424:1230,10.8
20250424:1300,10.9
20250424:1330,10.9
20250424:1400,10.9
20250424:1430,10.9
20250424:1500,10.8
20250424:1530,10.8
20250424:1600,10.8
20250424:1630,10.8
20250424:1700,10.7
20250424:1730,10.6
20250424:1800,10.4
20250424:1830,10.2
20250424:1900,9.9
20250424:1930,9.6
20250424:2000,9.3
20250424:2030,9.4
20250424:2100,9.4
20250424:2130,9.4
20250424:2200,9.5
20250424:2230,9.7
20250424:2300,9.8
20250424:2330,9.9
20250425:0000,10.1
20250425:0030,10.1
20250425:0100,10.2
20250425:0130,10.2
20250425:0200,10.3
20250425:0230,10.4
20250425:0300,10.4
20250425:0330,10.4
20250425:0400,10.4
20250425:0430,10.2
20250425:0500,10.0
20250425:0530,9.8
20250425:0600,9.6
20250425:0630,9.6
20250425:0700,9.6
20250425:0730,9.6
20250425:0800,9.6
20250425:0830,9.6
20250425:0900,9.6
20250425:0930,9.8
20250425:1000,9.9
20250425:1030,10.2
20250425:1100,10.4
20250425:1130,10.3
20250425:1200,10.2
20250425:1230,10.8
20250425:1300,11.3
20250425:1330,10.9
20250425:1400,10.4
20250425:1430,10.2
20250425:1500,10.1
20250425:1530,10.1
20250425:1600,10.2
20250425:1630,10.1
20250425:1700,10.1
20250425:1730,10.0
20250425:1800,9.9
20250425:1830,9.9
20250425:1900,9.8
20250425:1930,9.8
20250425:2000,9.8
20250425:2030,9.8
20250425:2100,9.8
20250425:2130,9.8
20250425:2200,9.8
20250425:2230,9.8
20250425:2300,9.8
20250425:2330,9.8
20250426:0000,9.8
20250426:0030,9.9
20250426:0100,9.9
20250426:0130,9.8
20250426:0200,9.7
20250426:0230,9.8
20250426:0300,9.9
20250426:0330,9.8
20250426:0400,9.7
20250426:0430,9.6
20250426:0500,9.5
20250426:0530,9.4
20250426:0600,9.4
20250426:0630,9.6
20250426:0700,9.7
20250426:0730,9.8
20250426:0800,9.9
20250426:0830,9.9
20250426:0900,10.0
20250426:0930,10.1
20250426:1000,10.1
20250426:1030,10.4
20250426:1100,10.7
20250426:1130,10.8
20250426:1200,10.9
20250426:1230,12.3
20250426:1300,13.7
20250426:1330,13.4
20250426:1400,13.1
20250426:1430,12.9
20250426:1500,12.7
20250426:1530,12.4
20250426:1600,12.1
20250426:1630,11.8
20250426:1700,11.6
20250426:1730,11.4
20250426:1800,11.2
20250426:1830,10.9
20250426:1900,10.6
20250426:1930,10.2
20250426:2000,9.8
20250426:2030,9.9
20250426:2100,9.9
20250426:2130,10.3
20250426:2200,10.7
20250426:2230,10.6
20250426:2300,10.6
20250426:2330,10.5
20250427:0000,10.4
20250427:0030,10.7
20250427:0100,10.9
20250427:0130,10.8
20250427:0200,10.6
20250427:0230,10.6
20250427:0300,10.6
20250427:0330,10.8
20250427:0400,10.9
20250427:0430,10.9
20250427:0500,11.0
20250427:0530,11.1
20250427:0600,11.1
20250427:0630,11.4
20250427:0700,11.8
20250427:0730,12.0
20250427:0800,12.2
20250427:0830,12.3
20250427:0900,12.4
20250427:0930,12.7
20250427:1000,12.9
20250427:1030,13.1
20250427:1100,13.2
20250427:1130,13.8
20250427:1200,14.4
20250427:1230,14.5
20250427:1300,14.6
20250427:1330,14.6
20250427:1400,14.6
20250427:1430,14.4
20250427:1500,14.2
20250427:1530,14.3
20250427:1600,14.4
20250427:1630,14.2
20250427:1700,13.9
20250427:1730,13.6
20250427:1800,13.2
20250427:1830,12.9
20250427:1900,12.7
20250427:1930,12.6
20250427:2000,12.6
20250427:2030,12.5
20250427:2100,12.4
20250427:2130,12.3
20250427:2200,12.2
20250427:2230,12.1
20250427:2300,11.9
20250427:2330,11.9
20250428:0000,11.8
20250428:0030,12.0
20250428:0100,12.2
20250428:0130,11.8
20250428:0200,11.4
20250428:0230,11.4
20250428:0300,11.4
20250428:0330,11.4
20250428:0400,11.4
20250428:0430,11.3
20250428:0500,11.2
20250428:0530,11.2
20250428:0600,11.2
20250428:0630,11.6
20250428:0700,11.9
20250428:0730,12.2
20250428:0800,12.4
20250428:0830,12.7
20250428:0900,12.9
20250428:0930,13.5
20250428:1000,14.1
20250428:1030,14.1
20250428:1100,14.1
20250428:1130,13.8
20250428:1200,13.6
20250428:1230,14.1
20250428:1300,14.5
20250428:1330,14.1
20250428:1400,13.6
20250428:1430,13.8
20250428:1500,14.1
20250428:1530,13.9
20250428:1600,13.7
20250428:1630,13.2
20250428:1700,12.8
20250428:1730,12.4
20250428:1800,12.1
20250428:1830,11.8
20250428:1900,11.4
20250428:1930,10.9
20250428:2000,10.5
20250428:2030,10.3
20250428:2100,10.1
20250428:2130,9.8
20250428:2200,9.6
20250428:2230,9.5
20250428:2300,9.4
20250428:2330,9.4
20250429:0000,9.4
20250429:0030,9.2
20250429:0100,9.0
20250429:0130,8.8
20250429:0200,8.6
20250429:0230,8.4
20250429:0300,8.2
20250429:0330,8.1
20250429:0400,8.1
20250429:0430,7.9
20250429:0500,7.8
20250429:0530,8.4
20250429:0600,9.0
20250429:0630,9.9
20250429:0700,10.9
20250429:0730,11.4
20250429:0800,12.0
20250429:0830,12.4
20250429:0900,12.9
20250429:0930,13.2
20250429:1000,13.6
20250429:1030,13.9
20250429:1100,14.3
20250429:1130,14.6
20250429:1200,14.9
20250429:1230,15.4
20250429:1300,16.0
20250429:1330,16.1
20250429:1400,16.1
20250429:1430,16.1
20250429:1500,16.1
20250429:1530,16.1
20250429:1600,16.0
20250429:1630,15.7
20250429:1700,15.4
20250429:1730,14.9
20250429:1800,14.4
20250429:1830,13.8
20250429:1900,13.1
20250429:1930,12.1
20250429:2000,11.1
20250429:2030,10.9
20250429:2100,10.7
20250429:2130,10.6
20250429:2200,10.6
20250429:2230,10.6
20250429:2300,10.5
20250429:2330,10.5
20250430:0000,10.5
20250430:0030,10.6
20250430:0100,10.6
20250430:0130,10.6
20250430:0200,10.6
20250430:0230,10.6
20250430:0300,10.5
20250430:0330,10.4
20250430:0400,10.4
20250430:0430,10.4
20250430:0500,10.4
20250430:0530,10.9
20250430:0600,11.3
20250430:0630,12.0
20250430:0700,12.7
20250430:0730,13.3
20250430:0800,13.9
20250430:0830,14.7
20250430:0900,15.4
20250430:0930,15.9
20250430:1000,16.3
20250430:1030,16.4
20250430:1100,16.5
20250430:1130,16.4
20250430:1200,16.2
20250430:1230,16.9
20250430:1300,17.5
20250430:1330,17.8
20250430:1400,18.0
20250430:1430,17.8
20250430:1500,17.5
20250430:1530,17.0
20250430:1600,16.5
20250430:1630,16.1
20250430:1700,15.6
20250430:1730,15.3
20250430:1800,15.1
20250430:1830,14.5
20250430:1900,13.9
20250430:1930,13.2
20250430:2000,12.4
20250430:2030,12.4
20250430:2100,12.4
20250430:2130,12.6
20250430:2200,12.7
20250430:2230,12.6
20250430:2300,12.6
20250430:2330,12.4
20250501:0000,12.3
20250501:0030,11.8
20250501:0100,11.2
20250501:0130,11.1
20250501:0200,10.9
20250501:0230,11.0
20250501:0300,11.1
20250501:0330,11.3
20250501:0400,11.6
20250501:0430,11.5
20250501:0500,11.4
20250501:0530,11.6
20250501:0600,11.8
20250501:0630,12.1
20250501:0700,12.4
20250501:0730,13.1
20250501:0800,13.7
20250501:0830,14.1
20250501:0900,14.6
20250501:0930,14.8
20250501:1000,15.1
20250501:1030,15.0
20250501:1100,14.9
20250501:1130,14.8
20250501:1200,14.6
20250501:1230,14.9
20250501:1300,15.2
20250501:1330,15.2
20250501:1400,15.3
20250501:1430,15.1
20250501:1500,14.9
20250501:1530,14.7
20250501:1600,14.4
20250501:1630,14.0
20250501:1700,13.6
20250501:1730,13.5
20250501:1800,13.4
20250501:1830,12.7
20250501:1900,11.9
20250501:1930,10.9
20250501:2000,10.0
20250501:2030,9.4
20250501:2100,8.9
20250501:2130,8.6
20250501:2200,8.3
20250501:2230,8.2
20250501:2300,8.1
20250501:2330,8.0
20250502:0000,7.9
20250502:0030,8.0
20250502:0100,8.1
20250502:0130,8.1
20250502:0200,8.1
20250502:0230,8.1
20250502:0300,8.1
20250502:0330,7.9
20250502:0400,7.8
20250502:0430,7.8
20250502:0500,7.7
20250502:0530,7.9
20250502:0600,8.1
20250502:0630,8.6
20250502:0700,9.2
20250502:0730,9.7
20250502:0800,10.2
20250502:0830,10.8
20250502:0900,11.4
20250502:0930,11.9
20250502:1000,12.3
20250502:1030,12.7
20250502:1100,13.0
20250502:1130,13.2
20250502:1200,13.5
20250502:1230,13.8
20250502:1300,14.1
20250502:1330,14.1
20250502:1400,14.1
20250502:1430,13.9
20250502:1500,13.8
20250502:1530,13.7
20250502:1600,13.6
20250502:1630,13.5
20250502:1700,13.4
20250502:1730,13.2
20250502:1800,13.1
20250502:1830,12.6
20250502:1900,12.0
20250502:1930,10.7
20250502:2000,9.4
20250502:2030,9.2
20250502:2100,8.9
20250502:2130,8.4
20250502:2200,8.0
20250502:2230,7.7
20250502:2300,7.3
20250502:2330,7.3
20250503:0000,7.3
20250503:0030,7.4
20250503:0100,7.5
20250503:0130,7.5
20250503:0200,7.6
20250503:0230,7.5
20250503:0300,7.5
20250503:0330,7.7
20250503:0400,7.8
20250503:0430,8.0
20250503:0500,8.2
20250503:0530,8.5
20250503:0600,8.8
20250503:0630,9.3
20250503:0700,9.8
20250503:0730,10.4
20250503:0800,10.9
20250503:0830,11.1
20250503:0900,11.2
20250503:0930,11.6
20250503:1000,11.9
20250503:1030,12.2
20250503:1100,12.5
20250503:1130,12.8
20250503:1200,13.1
20250503:1230,13.6
20250503:1300,14.0
20250503:1330,13.8
20250503:1400,13.6
20250503:1430,13.4
20250503:1500,13.3
20250503:1530,13.0
20250503:1600,12.7
20250503:1630,12.6
20250503:1700,12.6
20250503:1730,12.2
20250503:1800,11.9
20250503:1830,11.4
20250503:1900,10.9
20250503:1930,10.0
20250503:2000,9.1
20250503:2030,8.5
20250503:2100,7.9
20250503:2130,7.5
20250503:2200,7.1
20250503:2230,6.8
20250503:2300,6.4
20250503:2330,6.2
20250504:0000,6.1
20250504:0030,5.8
20250504:0100,5.5
20250504:0130,5.3
20250504:0200,5.2
20250504:0230,5.1
20250504:0300,5.0
20250504:0330,5.2
20250504:0400,5.3
20250504:0430,5.8
20250504:0500,6.3
20250504:0530,7.2
20250504:0600,8.2
20250504:0630,8.2
20250504:0700,8.3
20250504:0730,8.4
20250504:0800,8.6
20250504:0830,8.8
20250504:0900,9.1
20250504:0930,9.2
20250504:1000,9.4
20250504:1030,9.7
20250504:1100,9.9
20250504:1130,9.8
20250504:1200,9.6
20250504:1230,10.1
20250504:1300,10.5
20250504:1330,10.4
20250504:1400,10.4
20250504:1430,10.4
20250504:1500,10.4
20250504:1530,10.2
20250504:1600,10.1
20250504:1630,10.1
20250504:1700,10.1
20250504:1730,10.0
20250504:1800,9.9
20250504:1830,9.4
20250504:1900,8.9
20250504:1930,7.9
20250504:2000,6.9
20250504:2030,6.7
20250504:2100,6.4
20250504:2130,6.2
20250504:2200,6.1
20250504:2230,6.4
20250504:2300,6.8
20250504:2330,7.3
20250505:0000,7.8
20250505:0030,7.0
20250505:0100,6.2
20250505:0130,5.6
20250505:0200,4.9
20250505:0230,5.2
20250505:0300,5.4
20250505:0330,5.0
20250505:0400,4.6
20250505:0430,4.4
20250505:0500,4.2
20250505:0530,4.9
20250505:0600,5.6
20250505:0630,6.3
20250505:0700,7.0
20250505:0730,7.4
20250505:0800,7.8
20250505:0830,8.2
20250505:0900,8.6
20250505:0930,9.1
20250505:1000,9.6
20250505:1030,9.8
20250505:1100,10.0
20250505:1130,10.2
20250505:1200,10.3
20250505:1230,10.8
20250505:1300,11.3
20250505:1330,11.4
20250505:1400,11.4
20250505:1430,11.3
20250505:1500,11.2
20250505:1530,11.1
20250505:1600,11.1
20250505:1630,10.9
20250505:1700,10.7
20250505:1730,10.5
20250505:1800,10.3
20250505:1830,9.9
20250505:1900,9.6
20250505:1930,8.7
20250505:2000,7.8
20250505:2030,7.2
20250505:2100,6.6
20250505:2130,6.4
20250505:2200,6.2
20250505:2230,5.8
20250505:2300,5.4
20250505:2330,5.2
20250506:0000,5.0
20250506:0030,4.6
20250506:0100,4.2
20250506:0130,4.0
20250506:0200,3.7
20250506:0230,3.5
20250506:0300,3.3
20250506:0330,3.3
20250506:0400,3.3
20250506:0430,3.5
20250506:0500,3.6
20250506:0530,4.3
20250506:0600,5.1
20250506:0630,6.2
20250506:0700,7.4
20250506:0730,8.5
20250506:0800,9.6
20250506:0830,10.4
20250506:0900,11.3
20250506:0930,11.8
20250506:1000,12.2
20250506:1030,12.6
20250506:1100,12.9
20250506:1130,13.2
20250506:1200,13.4
20250506:1230,13.4
20250506:1300,13.4
20250506:1330,13.4
20250506:1400,13.4
20250506:1430,13.6
20250506:1500,13.7
20250506:1530,13.8
20250506:1600,13.8
20250506:1630,13.5
20250506:1700,13.2
20250506:1730,12.8
20250506:1800,12.4
20250506:1830,11.7
20250506:1900,10.9
20250506:1930,10.0
20250506:2000,9.1
20250506:2030,8.6
20250506:2100,8.1
20250506:2130,8.1
20250506:2200,8.0
20250506:2230,8.1
20250506:2300,8.2
20250506:2330,7.8
20250507:0000,7.4
20250507:0030,7.2
20250507:0100,6.9
20250507:0130,6.6
20250507:0200,6.2
20250507:0230,6.0
20250507:0300,5.8
20250507:0330,5.8
20250507:0400,5.8
20250507:0430,5.8
20250507:0500,5.9
20250507:0530,6.6
20250507:0600,7.2
20250507:0630,8.2
20250507:0700,9.1
20250507:0730,9.8
20250507:0800,10.6
20250507:0830,11.1
20250507:0900,11.6
20250507:0930,12.1
20250507:1000,12.5
20250507:1030,13.1
20250507:1100,13.6
20250507:1130,13.7
20250507:1200,13.8
20250507:1230,13.6
20250507:1300,13.4
20250507:1330,13.5
20250507:1400,13.6
20250507:1430,13.6
20250507:1500,13.6
20250507:1530,13.6
20250507:1600,13.6
20250507:1630,13.5
20250507:1700,13.4
20250507:1730,13.1
20250507:1800,12.8
20250507:1830,12.4
20250507:1900,11.9
20250507:1930,11.2
20250507:2000,10.4
20250507:2030,10.1
20250507:2100,9.8
20250507:2130,9.5
20250507:2200,9.2
20250507:2230,9.1
20250507:2300,8.9
20250507:2330,8.7
20250508:0000,8.4
20250508:0030,8.0
20250508:0100,7.6
20250508:0130,7.4
20250508:0200,7.2
20250508:0230,7.2
20250508:0300,7.1
20250508:0330,6.9
20250508:0400,6.7
20250508:0430,6.5
20250508:0500,6.2
20250508:0530,7.1
20250508:0600,8.0
20250508:0630,8.7
20250508:0700,9.4
20250508:0730,9.8
20250508:0800,10.1
20250508:0830,10.2
20250508:0900,10.4
20250508:0930,10.6
20250508:1000,10.8
20250508:1030,10.9
20250508:1100,11.1
20250508:1130,11.2
20250508:1200,11.4
20250508:1230,11.7
20250508:1300,11.9
20250508:1330,11.9
20250508:1400,11.8
20250508:1430,11.7
20250508:1500,11.5
20250508:1530,11.4
20250508:1600,11.3
20250508:1630,11.2
20250508:1700,11.2
20250508:1730,11.1
20250508:1800,11.1
20250508:1830,10.8
20250508:1900,10.5
20250508:1930,9.8
20250508:2000,9.1
20250508:2030,8.8
20250508:2100,8.4
20250508:2130,8.1
20250508:2200,7.8
20250508:2230,7.9
20250508:2300,8.1
20250508:2330,7.8
20250509:0000,7.6
20250509:0030,7.0
20250509:0100,6.4
20250509:0130,6.5
20250509:0200,6.5
20250509:0230,6.5
20250509:0300,6.6
20250509:0330,6.7
20250509:0400,6.7
20250509:0430,6.8
20250509:0500,6.8
20250509:0530,7.6
20250509:0600,8.4
20250509:0630,9.2
20250509:0700,10.0
20250509:0730,10.4
20250509:0800,10.9
20250509:0830,11.2
20250509:0900,11.4
20250509:0930,11.7
20250509:1000,11.9
20250509:1030,12.0
20250509:1100,12.1
20250509:1130,12.2
20250509:1200,12.4
20250509:1230,13.0
20250509:1300,13.6
20250509:1330,13.5
20250509:1400,13.4
20250509:1430,13.2
20250509:1500,12.9
20250509:1530,12.8
20250509:1600,12.6
20250509:1630,12.3
20250509:1700,12.1
20250509:1730,11.8
20250509:1800,11.6
20250509:1830,11.2
20250509:1900,10.9
20250509:1930,10.2
20250509:2000,9.4
20250509:2030,9.2
20250509:2100,9.0
20250509:2130,8.9
20250509:2200,8.9
20250509:2230,8.9
20250509:2300,8.8
20250509:2330,8.8
20250510:0000,8.7
20250510:0030,8.2
20250510:0100,7.8
20250510:0130,7.8
20250510:0200,7.8
20250510:0230,8.0
20250510:0300,8.2
20250510:0330,8.1
20250510:0400,8.1
20250510:0430,8.1
20250510:0500,8.1
20250510:0530,8.8
20250510:0600,9.4
20250510:0630,10.2
20250510:0700,11.1
20250510:0730,11.8
20250510:0800,12.6
20250510:0830,13.1
20250510:0900,13.6
20250510:0930,14.0
20250510:1000,14.4
20250510:1030,14.4
20250510:1100,14.4
20250510:1130,14.1
20250510:1200,13.8
20250510:1230,14.3
20250510:1300,14.8
20250510:1330,14.9
20250510:1400,15.1
20250510:1430,15.1
20250510:1500,15.1
20250510:1530,14.9
20250510:1600,14.8
20250510:1630,14.7
20250510:1700,14.6
20250510:1730,14.1
20250510:1800,13.7
20250510:1830,13.1
20250510:1900,12.4
20250510:1930,11.4
20250510:2000,10.4
20250510:2030,10.1
20250510:2100,9.8
20250510:2130,9.6
20250510:2200,9.4
20250510:2230,9.3
20250510:2300,9.2
20250510:2330,9.2
20250511:0000,9.2
20250511:0030,8.9
20250511:0100,8.7
20250511:0130,8.7
20250511:0200,8.7
20250511:0230,8.8
20250511:0300,8.9
20250511:0330,8.8
20250511:0400,8.6
20250511:0430,8.6
20250511:0500,8.6
20250511:0530,9.5
20250511:0600,10.4
20250511:0630,11.2
20250511:0700,12.1
20250511:0730,12.9
20250511:0800,13.7
20250511:0830,13.8
20250511:0900,14.0
20250511:0930,14.4
20250511:1000,14.8
20250511:1030,14.9
20250511:1100,15.1
20250511:1130,15.2
20250511:1200,15.4
20250511:1230,15.5
20250511:1300,15.6
20250511:1330,15.6
20250511:1400,15.6
20250511:1430,15.5
20250511:1500,15.4
20250511:1530,15.2
20250511:1600,15.1
20250511:1630,15.0
20250511:1700,14.9
20250511:1730,14.8
20250511:1800,14.6
20250511:1830,14.3
20250511:1900,14.1
20250511:1930,13.8
20250511:2000,13.4
20250511:2030,13.2
20250511:2100,13.1
20250511:2130,13.1
20250511:2200,13.2
20250511:2230,12.9
20250511:2300,12.7
20250511:2330,12.4
20250512:0000,12.2
20250512:0030,11.9
20250512:0100,11.6
20250512:0130,11.6
20250512:0200,11.6
20250512:0230,11.5
20250512:0300,11.4
20250512:0330,11.3
20250512:0400,11.2
